home,away,date_recorded,time_recorded,date_game,time_game,bet_type,line,odds
SJS,COL,2023-10-14,14:52:21,2023-10-14,21:08:00,U,6.5,-115
VGK,ANA,2023-10-14,14:52:21,2023-10-14,21:08:00,O,6.0,-120
VGK,ANA,2023-10-14,14:52:21,2023-10-14,21:08:00,U,6.0,100
EDM,VAN,2023-10-14,14:52:21,2023-10-14,21:08:00,O,7.0,105
EDM,VAN,2023-10-14,14:52:21,2023-10-14,21:08:00,U,7.0,-130
LAK,CAR,2023-10-14,14:52:21,2023-10-14,21:38:00,O,6.0,-110
LAK,CAR,2023-10-14,14:52:21,2023-10-14,21:38:00,U,6.0,-110
OTT,TBL,2023-10-15,11:00:28,2023-10-15,18:08:00,O,7.0,100
OTT,TBL,2023-10-15,11:00:28,2023-10-15,18:08:00,U,7.0,-120
ANA,CAR,2023-10-15,11:00:28,2023-10-15,19:38:00,O,6.0,-130
ANA,CAR,2023-10-15,11:00:28,2023-10-15,19:38:00,U,6.0,105
TOR,CHI,2023-10-16,11:11:05,2023-10-16,18:08:00,O,7.0,115
TOR,CHI,2023-10-16,11:11:05,2023-10-16,18:08:00,U,7.0,-145
NYR,ARI,2023-10-16,11:11:05,2023-10-16,18:08:00,O,6.5,-105
NYR,ARI,2023-10-16,11:11:05,2023-10-16,18:08:00,U,6.5,-115
NJD,FLA,2023-10-16,11:11:05,2023-10-16,18:08:00,O,7.0,110
NJD,FLA,2023-10-16,11:11:05,2023-10-16,18:08:00,U,7.0,-140
CBJ,DET,2023-10-16,11:11:05,2023-10-16,18:08:00,O,7.0,115
CBJ,DET,2023-10-16,11:11:05,2023-10-16,18:08:00,U,7.0,-145
WSH,CGY,2023-10-16,11:11:05,2023-10-16,18:08:00,O,6.0,-120
WSH,CGY,2023-10-16,11:11:05,2023-10-16,18:08:00,U,6.0,100
PHI,VAN,2023-10-17,11:22:02,2023-10-17,17:00:00,O,6.5,100
PHI,VAN,2023-10-17,11:22:02,2023-10-17,17:00:00,U,6.5,-120
MTL,MIN,2023-10-17,11:22:02,2023-10-17,18:00:00,O,6.0,-120
MTL,MIN,2023-10-17,11:22:02,2023-10-17,18:00:00,U,6.0,100
BUF,TBL,2023-10-17,11:22:02,2023-10-17,18:30:00,O,7.0,105
BUF,TBL,2023-10-17,11:22:02,2023-10-17,18:30:00,U,7.0,-130
NYI,ARI,2023-10-17,11:22:02,2023-10-17,18:30:00,O,5.5,-120
NYI,ARI,2023-10-17,11:22:02,2023-10-17,18:30:00,U,5.5,100
NSH,EDM,2023-10-17,11:22:02,2023-10-17,19:00:00,O,6.5,-120
NSH,EDM,2023-10-17,11:22:02,2023-10-17,19:00:00,U,6.5,100
WPG,LAK,2023-10-17,11:22:02,2023-10-17,19:00:00,O,6.5,-105
WPG,LAK,2023-10-17,11:22:02,2023-10-17,19:00:00,U,6.5,-115
SEA,COL,2023-10-17,11:22:02,2023-10-17,21:00:00,O,6.5,100
SEA,COL,2023-10-17,11:22:02,2023-10-17,21:00:00,U,6.5,-120
SJS,CAR,2023-10-17,11:22:02,2023-10-17,21:30:00,O,6.0,-120
SJS,CAR,2023-10-17,11:22:02,2023-10-17,21:30:00,U,6.0,100
VGK,DAL,2023-10-17,11:22:02,2023-10-17,21:30:00,O,6.0,100
VGK,DAL,2023-10-17,11:22:02,2023-10-17,21:30:00,U,6.0,-120
OTT,WSH,2023-10-18,17:07:14,2023-10-18,18:07:00,O,6.5,-120
OTT,WSH,2023-10-18,17:07:14,2023-10-18,18:07:00,U,6.5,100
DET,PIT,2023-10-18,17:07:14,2023-10-18,18:37:00,O,6.5,-130
DET,PIT,2023-10-18,17:07:14,2023-10-18,18:37:00,U,6.5,105
NYR,NSH,2023-10-19,10:04:26,2023-10-19,18:07:00,O,6.0,-115
NYR,NSH,2023-10-19,10:04:26,2023-10-19,18:07:00,U,6.0,-105
FLA,TOR,2023-10-19,10:04:26,2023-10-19,18:07:00,O,7.0,100
FLA,TOR,2023-10-19,10:04:26,2023-10-19,18:07:00,U,7.0,-120
TBL,VAN,2023-10-19,10:04:26,2023-10-19,18:07:00,O,7.0,110
TBL,VAN,2023-10-19,10:04:26,2023-10-19,18:07:00,U,7.0,-140
BUF,CGY,2023-10-19,10:04:26,2023-10-19,18:07:00,O,6.5,-130
BUF,CGY,2023-10-19,10:04:26,2023-10-19,18:07:00,U,6.5,105
PHI,EDM,2023-10-19,10:04:26,2023-10-19,18:37:00,O,6.5,-140
PHI,EDM,2023-10-19,10:04:26,2023-10-19,18:37:00,U,6.5,110
WPG,VGK,2023-10-19,10:04:26,2023-10-19,19:07:00,O,6.0,-110
WPG,VGK,2023-10-19,10:04:26,2023-10-19,19:07:00,U,6.0,-110
STL,ARI,2023-10-19,10:04:26,2023-10-19,19:07:00,O,6.0,-115
STL,ARI,2023-10-19,10:04:26,2023-10-19,19:07:00,U,6.0,-105
MIN,LAK,2023-10-19,10:04:26,2023-10-19,19:07:00,O,6.0,-110
MIN,LAK,2023-10-19,10:04:26,2023-10-19,19:07:00,U,6.0,-110
ANA,DAL,2023-10-19,10:04:26,2023-10-19,21:07:00,O,6.0,-115
ANA,DAL,2023-10-19,10:04:26,2023-10-19,21:07:00,U,6.0,-105
SEA,CAR,2023-10-19,10:04:26,2023-10-19,21:07:00,O,6.0,-110
SEA,CAR,2023-10-19,10:04:26,2023-10-19,21:07:00,U,6.0,-110
COL,CHI,2023-10-19,10:04:26,2023-10-19,21:37:00,O,6.5,-105
COL,CHI,2023-10-19,10:04:26,2023-10-19,21:37:00,U,6.5,-115
SJS,BOS,2023-10-19,10:04:26,2023-10-19,21:37:00,O,6.0,-120
SJS,BOS,2023-10-19,10:04:26,2023-10-19,21:37:00,U,6.0,100
CBJ,CGY,2023-10-20,09:51:36,2023-10-20,18:07:00,O,6.5,-120
CBJ,CGY,2023-10-20,09:51:36,2023-10-20,18:07:00,U,6.5,100
NYI,NJD,2023-10-20,09:51:36,2023-10-20,18:37:00,O,6.0,-110
NYI,NJD,2023-10-20,09:51:36,2023-10-20,18:37:00,U,6.0,-110
OTT,DET,2023-10-21,10:08:00,2023-10-21,12:00:00,O,6.5,-140
OTT,DET,2023-10-21,10:08:00,2023-10-21,12:00:00,U,6.5,110
ARI,ANA,2023-10-21,10:08:00,2023-10-21,15:00:00,O,6.5,-110
ARI,ANA,2023-10-21,10:08:00,2023-10-21,15:00:00,U,6.5,-110
FLA,VAN,2023-10-21,10:08:00,2023-10-21,18:00:00,O,6.5,-120
FLA,VAN,2023-10-21,10:08:00,2023-10-21,18:00:00,U,6.5,100
TBL,TOR,2023-10-21,10:08:00,2023-10-21,18:00:00,O,7.0,105
TBL,TOR,2023-10-21,10:08:00,2023-10-21,18:00:00,U,7.0,-130
BUF,NYI,2023-10-21,10:08:00,2023-10-21,18:00:00,O,6.5,100
BUF,NYI,2023-10-21,10:08:00,2023-10-21,18:00:00,U,6.5,-120
MTL,WAS,2023-10-21,10:08:00,2023-10-21,18:00:00,O,6.5,-105
MTL,WAS,2023-10-21,10:08:00,2023-10-21,18:00:00,U,6.5,-115
CHI,VGK,2023-10-21,10:08:00,2023-10-21,19:00:00,O,6.0,-120
CHI,VGK,2023-10-21,10:08:00,2023-10-21,19:00:00,U,6.0,100
NSH,SJS,2023-10-21,10:08:00,2023-10-21,19:00:00,O,6.0,-105
NSH,SJS,2023-10-21,10:08:00,2023-10-21,19:00:00,U,6.0,-115
DAL,PHI,2023-10-21,10:08:00,2023-10-21,19:00:00,O,6.0,-105
DAL,PHI,2023-10-21,10:08:00,2023-10-21,19:00:00,U,6.0,-115
MIN,CBJ,2023-10-21,10:08:00,2023-10-21,19:00:00,O,6.5,-110
MIN,CBJ,2023-10-21,10:08:00,2023-10-21,19:00:00,U,6.5,-110
STL,PIT,2023-10-21,10:08:00,2023-10-21,19:00:00,O,6.5,-115
STL,PIT,2023-10-21,10:08:00,2023-10-21,19:00:00,U,6.5,-105
COL,CAR,2023-10-21,10:08:00,2023-10-21,20:00:00,O,6.0,-120
COL,CAR,2023-10-21,10:08:00,2023-10-21,20:00:00,U,6.0,100
EDM,WPG,2023-10-21,10:08:00,2023-10-21,21:00:00,O,7.0,110
EDM,WPG,2023-10-21,10:08:00,2023-10-21,21:00:00,U,7.0,-140
SEA,NYR,2023-10-21,10:08:00,2023-10-21,21:00:00,O,6.0,-115
SEA,NYR,2023-10-21,10:08:00,2023-10-21,21:00:00,U,6.0,-105
LAK,BOS,2023-10-21,10:08:00,2023-10-21,21:30:00,O,6.0,-105
LAK,BOS,2023-10-21,10:08:00,2023-10-21,21:30:00,U,6.0,-115
DET,CGY,2023-10-22,10:49:23,2023-10-22,16:07:00,O,6.5,-120
DET,CGY,2023-10-22,10:49:23,2023-10-22,16:07:00,U,6.5,100
ANA,BOS,2023-10-22,10:49:23,2023-10-22,19:37:00,O,6.0,-115
ANA,BOS,2023-10-22,10:49:23,2023-10-22,19:37:00,U,6.0,-105
BUF,MTL,2023-10-23,10:43:10,2023-10-23,18:07:00,O,6.5,-130
BUF,MTL,2023-10-23,10:43:10,2023-10-23,18:07:00,U,6.5,105
WSH,TOR,2023-10-24,10:02:37,2023-10-24,17:00:00,O,6.5,-120
WSH,TOR,2023-10-24,10:02:37,2023-10-24,17:00:00,U,6.5,100
CBJ,ANA,2023-10-24,10:02:37,2023-10-24,17:30:00,O,6.5,-110
CBJ,ANA,2023-10-24,10:02:37,2023-10-24,17:30:00,U,6.5,-110
OTT,BUF,2023-10-24,10:02:37,2023-10-24,17:45:00,O,7.0,100
OTT,BUF,2023-10-24,10:02:37,2023-10-24,17:45:00,U,7.0,-120
TBL,CAR,2023-10-24,10:02:37,2023-10-24,18:00:00,O,6.5,-120
TBL,CAR,2023-10-24,10:02:37,2023-10-24,18:00:00,U,6.5,100
MTL,NJD,2023-10-24,10:02:37,2023-10-24,18:15:00,O,6.5,-115
MTL,NJD,2023-10-24,10:02:37,2023-10-24,18:15:00,U,6.5,-105
PIT,DAL,2023-10-24,10:02:37,2023-10-24,18:30:00,O,6.5,100
PIT,DAL,2023-10-24,10:02:37,2023-10-24,18:30:00,U,6.5,-120
FLA,SJS,2023-10-24,10:02:37,2023-10-24,18:45:00,O,7.0,110
FLA,SJS,2023-10-24,10:02:37,2023-10-24,18:45:00,U,7.0,-140
NYI,COL,2023-10-24,10:02:37,2023-10-24,19:00:00,O,5.5,-120
NYI,COL,2023-10-24,10:02:37,2023-10-24,19:00:00,U,5.5,100
DET,SEA,2023-10-24,10:02:37,2023-10-24,19:15:00,O,6.5,-110
DET,SEA,2023-10-24,10:02:37,2023-10-24,19:15:00,U,6.5,-110
CHI,BOS,2023-10-24,10:02:37,2023-10-24,19:30:00,O,6.0,-110
CHI,BOS,2023-10-24,10:02:37,2023-10-24,19:30:00,U,6.0,-110
WPG,STL,2023-10-24,10:02:37,2023-10-24,19:45:00,O,6.0,-120
WPG,STL,2023-10-24,10:02:37,2023-10-24,19:45:00,U,6.0,100
MIN,EDM,2023-10-24,10:02:37,2023-10-24,20:00:00,O,6.5,-115
MIN,EDM,2023-10-24,10:02:37,2023-10-24,20:00:00,U,6.5,-105
NSH,VAN,2023-10-24,10:02:37,2023-10-24,20:15:00,O,6.0,-110
NSH,VAN,2023-10-24,10:02:37,2023-10-24,20:15:00,U,6.0,-110
CGY,NYR,2023-10-24,10:02:37,2023-10-24,20:15:00,O,6.0,-110
CGY,NYR,2023-10-24,10:02:37,2023-10-24,20:15:00,U,6.0,-110
LAK,ARI,2023-10-24,10:02:37,2023-10-24,21:30:00,O,6.5,-115
LAK,ARI,2023-10-24,10:02:37,2023-10-24,21:30:00,U,6.5,-105
VGK,PHI,2023-10-24,10:02:37,2023-10-24,22:00:00,O,6.0,-120
VGK,PHI,2023-10-24,10:02:37,2023-10-24,22:00:00,U,6.0,100
NJD,WSH,2023-10-25,10:41:19,2023-10-25,18:37:00,O,6.5,-130
NJD,WSH,2023-10-25,10:41:19,2023-10-25,18:37:00,U,6.5,105
BOS,ANA,2023-10-26,10:03:15,2023-10-26,18:07:00,O,6.0,-110
BOS,ANA,2023-10-26,10:03:15,2023-10-26,18:07:00,U,6.0,-110
TBL,SJS,2023-10-26,10:03:15,2023-10-26,18:07:00,O,6.5,-115
TBL,SJS,2023-10-26,10:03:15,2023-10-26,18:07:00,U,6.5,-105
PIT,COL,2023-10-26,10:03:15,2023-10-26,18:07:00,O,6.5,-130
PIT,COL,2023-10-26,10:03:15,2023-10-26,18:07:00,U,6.5,105
DET,WPG,2023-10-26,10:03:15,2023-10-26,18:07:00,O,6.5,-105
DET,WPG,2023-10-26,10:03:15,2023-10-26,18:07:00,U,6.5,-115
CAR,SEA,2023-10-26,10:03:15,2023-10-26,18:07:00,O,6.5,100
CAR,SEA,2023-10-26,10:03:15,2023-10-26,18:07:00,U,6.5,-120
MTL,CBJ,2023-10-26,10:03:15,2023-10-26,18:07:00,O,6.5,-120
MTL,CBJ,2023-10-26,10:03:15,2023-10-26,18:07:00,U,6.5,100
PHI,MIN,2023-10-26,10:03:15,2023-10-26,18:37:00,O,6.0,-120
PHI,MIN,2023-10-26,10:03:15,2023-10-26,18:37:00,U,6.0,100
NYI,OTT,2023-10-26,10:03:15,2023-10-26,18:37:00,O,6.5,100
NYI,OTT,2023-10-26,10:03:15,2023-10-26,18:37:00,U,6.5,-120
DAL,TOR,2023-10-26,10:03:15,2023-10-26,19:07:00,O,6.0,-115
DAL,TOR,2023-10-26,10:03:15,2023-10-26,19:07:00,U,6.0,-105
EDM,NYR,2023-10-26,10:03:15,2023-10-26,20:07:00,O,6.0,-120
EDM,NYR,2023-10-26,10:03:15,2023-10-26,20:07:00,U,6.0,100
CGY,STL,2023-10-26,10:03:15,2023-10-26,20:07:00,O,6.0,-115
CGY,STL,2023-10-26,10:03:15,2023-10-26,20:07:00,U,6.0,-105
VGK,CHI,2023-10-27,07:38:41,2023-10-27,17:00:00,O,6.0,-110
VGK,CHI,2023-10-27,07:38:41,2023-10-27,17:00:00,U,6.0,-110
CAR,SJS,2023-10-27,07:38:41,2023-10-27,18:00:00,O,6.5,-105
CAR,SJS,2023-10-27,07:38:41,2023-10-27,18:00:00,U,6.5,-115
NJD,BUF,2023-10-27,07:38:41,2023-10-27,18:00:00,O,7.0,-110
NJD,BUF,2023-10-27,07:38:41,2023-10-27,18:00:00,U,7.0,-110
WSH,MIN,2023-10-27,07:38:41,2023-10-27,18:00:00,O,6.0,-120
WSH,MIN,2023-10-27,07:38:41,2023-10-27,18:00:00,U,6.0,100
ARI,LAK,2023-10-27,07:38:41,2023-10-27,21:00:00,O,6.5,-110
ARI,LAK,2023-10-27,07:38:41,2023-10-27,21:00:00,U,6.5,-110
VAN,STL,2023-10-27,07:38:41,2023-10-27,21:00:00,O,6.5,-115
VAN,STL,2023-10-27,07:38:41,2023-10-27,21:00:00,U,6.5,-105
PHI,ANA,2023-10-28,09:41:30,2023-10-28,12:00:00,O,6.0,-105
PHI,ANA,2023-10-28,09:41:30,2023-10-28,12:00:00,U,6.0,-115
FLA,SEA,2023-10-28,09:41:30,2023-10-28,17:00:00,O,6.5,-125
FLA,SEA,2023-10-28,09:41:30,2023-10-28,17:00:00,U,6.5,105
BOS,DET,2023-10-28,09:41:30,2023-10-28,18:00:00,O,6.0,100
BOS,DET,2023-10-28,09:41:30,2023-10-28,18:00:00,U,6.0,-120
NSH,TOR,2023-10-28,09:41:30,2023-10-28,18:00:00,O,6.0,-120
NSH,TOR,2023-10-28,09:41:30,2023-10-28,18:00:00,U,6.0,100
PIT,OTT,2023-10-28,09:41:30,2023-10-28,18:00:00,O,6.5,-130
PIT,OTT,2023-10-28,09:41:30,2023-10-28,18:00:00,U,6.5,110
MTL,WPG,2023-10-28,09:41:30,2023-10-28,18:00:00,O,6.5,100
MTL,WPG,2023-10-28,09:41:30,2023-10-28,18:00:00,U,6.5,-120
CBJ,NYI,2023-10-28,09:41:30,2023-10-28,18:00:00,O,6.0,-120
CBJ,NYI,2023-10-28,09:41:30,2023-10-28,18:00:00,U,6.0,100
VAN,NYR,2023-10-28,09:41:30,2023-10-28,21:00:00,O,6.0,100
VAN,NYR,2023-10-28,09:41:30,2023-10-28,21:00:00,U,6.0,-120
LAK,VGK,2023-10-28,09:41:30,2023-10-28,21:30:00,O,6.0,-120
LAK,VGK,2023-10-28,09:41:30,2023-10-28,21:30:00,U,6.0,100
BUF,COL,2023-10-29,08:37:11,2023-10-29,12:08:00,O,6.5,-130
BUF,COL,2023-10-29,08:37:11,2023-10-29,12:08:00,U,6.5,110
WSH,SJS,2023-10-29,08:37:11,2023-10-29,16:08:00,O,6.0,-108
WSH,SJS,2023-10-29,08:37:11,2023-10-29,16:08:00,U,6.0,-112
NJD,MIN,2023-10-29,08:37:11,2023-10-29,16:08:00,O,6.5,-125
NJD,MIN,2023-10-29,08:37:11,2023-10-29,16:08:00,U,6.5,105
EDM,CGY,2023-10-29,08:37:11,2023-10-29,18:08:00,O,6.5,-110
EDM,CGY,2023-10-29,08:37:11,2023-10-29,18:08:00,U,6.5,-110
BOS,FLA,2023-10-30,11:52:21,2023-10-30,18:08:00,O,6.5,100
BOS,FLA,2023-10-30,11:52:21,2023-10-30,18:08:00,U,6.5,-120
PIT,ANA,2023-10-30,11:52:21,2023-10-30,18:08:00,O,6.5,-115
PIT,ANA,2023-10-30,11:52:21,2023-10-30,18:08:00,U,6.5,-105
PHI,CAR,2023-10-30,11:52:21,2023-10-30,18:08:00,O,6.0,-120
PHI,CAR,2023-10-30,11:52:21,2023-10-30,18:08:00,U,6.0,100
TBL,SEA,2023-10-30,11:52:21,2023-10-30,18:08:00,O,6.5,100
TBL,SEA,2023-10-30,11:52:21,2023-10-30,18:08:00,U,6.5,-120
WPG,NYR,2023-10-30,11:52:21,2023-10-30,18:38:00,O,5.5,-120
WPG,NYR,2023-10-30,11:52:21,2023-10-30,18:38:00,U,5.5,100
NYI,DET,2023-10-30,11:52:21,2023-10-30,18:38:00,O,6.0,100
NYI,DET,2023-10-30,11:52:21,2023-10-30,18:38:00,U,6.0,-120
DAL,CBJ,2023-10-30,11:52:21,2023-10-30,19:08:00,O,6.0,-115
DAL,CBJ,2023-10-30,11:52:21,2023-10-30,19:08:00,U,6.0,-105
VGK,MTL,2023-10-30,11:52:21,2023-10-30,21:08:00,O,6.5,100
VGK,MTL,2023-10-30,11:52:21,2023-10-30,21:08:00,U,6.5,-120
ARI,CHI,2023-10-30,11:52:21,2023-10-30,21:08:00,O,6.0,-120
ARI,CHI,2023-10-30,11:52:21,2023-10-30,21:08:00,U,6.0,100
TOR,LAK,2023-10-31,10:00:26,2023-10-31,19:07:00,O,6.5,-140
TOR,LAK,2023-10-31,10:00:26,2023-10-31,19:07:00,U,6.5,110
VAN,NSH,2023-10-31,10:00:26,2023-10-31,21:07:00,O,6.0,100
VAN,NSH,2023-10-31,10:00:26,2023-10-31,21:07:00,U,6.0,-120
PHI,BUF,2023-11-01,11:15:50,2023-11-01,18:07:00,O,6.5,-130
PHI,BUF,2023-11-01,11:15:50,2023-11-01,18:07:00,U,6.5,105
CGY,DAL,2023-11-01,11:15:50,2023-11-01,19:37:00,O,6.0,-105
CGY,DAL,2023-11-01,11:15:50,2023-11-01,19:37:00,U,6.0,-115
COL,STL,2023-11-01,11:15:50,2023-11-01,20:37:00,O,6.5,-110
COL,STL,2023-11-01,11:15:50,2023-11-01,20:37:00,U,6.5,-110
ANA,ARI,2023-11-01,11:15:50,2023-11-01,21:07:00,O,6.5,-110
ANA,ARI,2023-11-01,11:15:50,2023-11-01,21:07:00,U,6.5,-110
CBJ,TBL,2023-11-02,10:01:55,2023-11-02,18:07:00,O,6.5,-130
CBJ,TBL,2023-11-02,10:01:55,2023-11-02,18:07:00,U,6.5,105
NYR,CAR,2023-11-02,10:01:55,2023-11-02,18:07:00,O,5.5,-115
NYR,CAR,2023-11-02,10:01:55,2023-11-02,18:07:00,U,5.5,-105
DET,FLA,2023-11-02,10:01:55,2023-11-02,18:07:00,O,6.5,-130
DET,FLA,2023-11-02,10:01:55,2023-11-02,18:07:00,U,6.5,105
OTT,LAK,2023-11-02,10:01:55,2023-11-02,18:07:00,O,7.0,105
OTT,LAK,2023-11-02,10:01:55,2023-11-02,18:07:00,U,7.0,-130
WSH,NYI,2023-11-02,10:01:55,2023-11-02,18:07:00,O,5.5,-110
WSH,NYI,2023-11-02,10:01:55,2023-11-02,18:07:00,U,5.5,-110
BOS,TOR,2023-11-02,10:01:55,2023-11-02,18:37:00,O,6.0,100
BOS,TOR,2023-11-02,10:01:55,2023-11-02,18:37:00,U,6.0,-120
MIN,NJD,2023-11-02,10:01:55,2023-11-02,19:07:00,O,6.5,-140
MIN,NJD,2023-11-02,10:01:55,2023-11-02,19:07:00,U,6.5,110
EDM,DAL,2023-11-02,10:01:55,2023-11-02,20:07:00,O,6.5,-115
EDM,DAL,2023-11-02,10:01:55,2023-11-02,20:07:00,U,6.5,-105
VGK,WPG,2023-11-02,10:01:55,2023-11-02,21:07:00,O,6.0,-105
VGK,WPG,2023-11-02,10:01:55,2023-11-02,21:07:00,U,6.0,-115
SEA,NSH,2023-11-02,10:01:55,2023-11-02,21:07:00,O,5.5,-120
SEA,NSH,2023-11-02,10:01:55,2023-11-02,21:07:00,U,5.5,100
ARI,MTL,2023-11-02,10:01:55,2023-11-02,21:07:00,O,6.5,100
ARI,MTL,2023-11-02,10:01:55,2023-11-02,21:07:00,U,6.5,-120
SJS,VAN,2023-11-02,10:01:55,2023-11-02,21:37:00,O,6.0,-115
SJS,VAN,2023-11-02,10:01:55,2023-11-02,21:37:00,U,6.0,-105
BUF,PHI,2023-11-03,11:10:20,2023-11-03,18:07:00,O,6.5,-130
BUF,PHI,2023-11-03,11:10:20,2023-11-03,18:07:00,U,6.5,105
STL,NJD,2023-11-03,11:10:20,2023-11-03,19:07:00,O,6.5,-120
STL,NJD,2023-11-03,11:10:20,2023-11-03,19:07:00,U,6.5,100
EDM,NSH,2023-11-04,10:13:02,2023-11-04,14:08:00,O,6.5,-120
EDM,NSH,2023-11-04,10:13:02,2023-11-04,14:08:00,U,6.5,100
ARI,WPG,2023-11-04,10:13:02,2023-11-04,15:08:00,O,6.0,-115
ARI,WPG,2023-11-04,10:13:02,2023-11-04,15:08:00,U,6.0,-105
DET,BOS,2023-11-04,10:13:02,2023-11-04,18:08:00,O,6.0,100
DET,BOS,2023-11-04,10:13:02,2023-11-04,18:08:00,U,6.0,-120
TOR,BUF,2023-11-04,10:13:02,2023-11-04,18:08:00,O,6.5,-140
TOR,BUF,2023-11-04,10:13:02,2023-11-04,18:08:00,U,6.5,110
OTT,TBL,2023-11-04,10:13:02,2023-11-04,18:08:00,O,7.0,110
OTT,TBL,2023-11-04,10:13:02,2023-11-04,18:08:00,U,7.0,-140
STL,MTL,2023-11-04,10:13:02,2023-11-04,18:08:00,O,6.5,100
STL,MTL,2023-11-04,10:13:02,2023-11-04,18:08:00,U,6.5,-120
WSH,CBJ,2023-11-04,10:13:02,2023-11-04,18:08:00,O,6.5,-105
